file_name,document_type,source_url,source,date,bytes
33_supreme_court_india_20260515_m_j_1.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-15/M_J_1.pdf,Supreme Court of India official API,2026-05-15,1308897
34_supreme_court_india_20260515_m_j_2.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-15/M_J_2.pdf,Supreme Court of India official API,2026-05-15,634652
35_supreme_court_india_20260515_m_c_1.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-15/M_C_1.pdf,Supreme Court of India official API,2026-05-15,540787
36_supreme_court_india_20260515_m_c_2.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-15/M_C_2.pdf,Supreme Court of India official API,2026-05-15,510644
37_supreme_court_india_20260514_m_j_1.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-14/M_J_1.pdf,Supreme Court of India official API,2026-05-14,864846
38_supreme_court_india_20260514_m_j_2.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-14/M_J_2.pdf,Supreme Court of India official API,2026-05-14,560028
39_supreme_court_india_20260514_m_cc_1.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-14/M_CC_1.pdf,Supreme Court of India official API,2026-05-14,520379
40_supreme_court_india_20260513_m_j_1.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-13/M_J_1.pdf,Supreme Court of India official API,2026-05-13,877035
41_supreme_court_india_20260513_m_j_2.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-13/M_J_2.pdf,Supreme Court of India official API,2026-05-13,576556
42_supreme_court_india_20260513_m_cc_1.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-13/M_CC_1.pdf,Supreme Court of India official API,2026-05-13,542285
43_supreme_court_india_20260512_m_j_1.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-12/M_J_1.pdf,Supreme Court of India official API,2026-05-12,1216683
44_supreme_court_india_20260512_m_j_2.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-12/M_J_2.pdf,Supreme Court of India official API,2026-05-12,599204
45_supreme_court_india_20260512_m_cc_1.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-12/M_CC_1.pdf,Supreme Court of India official API,2026-05-12,559836
46_supreme_court_india_20260511_m_j_1.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-11/M_J_1.pdf,Supreme Court of India official API,2026-05-11,899030
47_supreme_court_india_20260511_m_j_2.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-11/M_J_2.pdf,Supreme Court of India official API,2026-05-11,616592
48_supreme_court_india_20260511_m_c_1.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-11/M_C_1.pdf,Supreme Court of India official API,2026-05-11,548959
49_supreme_court_india_20260511_m_c_2.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-11/M_C_2.pdf,Supreme Court of India official API,2026-05-11,537300
50_supreme_court_india_20260508_m_j_1.pdf,Supreme Court of India cause list / court PDF,https://api.sci.gov.in/jonew/cl/2026-05-08/M_J_1.pdf,Supreme Court of India official API,2026-05-08,895001
